Series_reference,Period,Data_value,STATUS,UNITS,Subject,Group,Series_title_1
CPIM.SE901,1974.07,92.8309,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1974.08,94.658279,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1974.09,96.120184,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1974.10,96.485659,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1974.11,96.120184,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1974.12,95.128177,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1975.01,95.911341,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1975.02,96.486808,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1975.03,97.350011,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1975.04,99.172326,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1975.05,100.610996,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1975.06,101.282375,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1975.07,103.104691,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1975.08,104.735184,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1975.09,107.132967,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1975.10,109.243017,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1975.11,110.681687,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1975.12,110.393952,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1976.01,112.31218,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1976.02,115.573165,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1976.03,116.436367,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1976.04,118.83415,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1976.05,120.560555,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1976.06,121.423757,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1976.07,122.574693,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1976.08,124.205186,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1976.09,127.562082,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1976.10,128.233462,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1976.11,129.000753,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1976.12,128.425285,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1977.01,132.645384,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1977.02,135.043167,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1977.03,136.00228,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1977.04,136.385926,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1977.05,139.838734,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
CPIM.SE901,1977.06,141.756961,FINAL,Index,Consumers Price Index - CPI,Food Price Index for New Zealand,Food
